#wavelength [nm],"Tavg, 0.0 deg AOI"
498.66,2.52E-11
498.67,2.55E-11
498.68,2.57E-11
498.69,2.59E-11
498.7,2.61E-11
498.71,2.64E-11
498.72,2.66E-11
498.73,2.68E-11
498.74,2.71E-11
498.75,2.73E-11
498.76,2.75E-11
498.77,2.78E-11
498.78,2.80E-11
498.79,2.83E-11
498.8,2.85E-11
498.81,2.88E-11
498.82,2.91E-11
498.83,2.93E-11
498.84,2.96E-11
498.85,2.98E-11
498.86,3.01E-11
498.87,3.04E-11
498.88,3.07E-11
498.89,3.09E-11
498.9,3.12E-11
498.91,3.15E-11
498.92,3.18E-11
498.93,3.21E-11
498.94,3.24E-11
498.95,3.27E-11
498.96,3.30E-11
498.97,3.33E-11
498.98,3.36E-11
498.99,3.39E-11
499,3.42E-11
499.01,3.45E-11
499.02,3.48E-11
499.03,3.51E-11
499.04,3.55E-11
499.05,3.58E-11
499.06,3.61E-11
499.07,3.65E-11
499.08,3.68E-11
499.09,3.71E-11
499.1,3.75E-11
499.11,3.78E-11
499.12,3.82E-11
499.13,3.85E-11
499.14,3.89E-11
499.15,3.93E-11
499.16,3.96E-11
499.17,4.00E-11
499.18,4.04E-11
499.19,4.08E-11
499.2,4.12E-11
499.21,4.16E-11
499.22,4.19E-11
499.23,4.23E-11
499.24,4.28E-11
499.25,4.32E-11
499.26,4.36E-11
499.27,4.40E-11
499.28,4.44E-11
499.29,4.48E-11
499.3,4.53E-11
499.31,4.57E-11
499.32,4.62E-11
499.33,4.66E-11
499.34,4.70E-11
499.35,4.75E-11
499.36,4.80E-11
499.37,4.84E-11
499.38,4.89E-11
499.39,4.94E-11
499.4,4.99E-11
499.41,5.04E-11
499.42,5.08E-11
499.43,5.13E-11
499.44,5.19E-11
499.45,5.24E-11
499.46,5.29E-11
499.47,5.34E-11
499.48,5.39E-11
499.49,5.45E-11
499.5,5.50E-11
499.51,5.56E-11
499.52,5.61E-11
499.53,5.67E-11
499.54,5.72E-11
499.55,5.78E-11
499.56,5.84E-11
499.57,5.90E-11
499.58,5.96E-11
499.59,6.02E-11
